Subfamily,Tribe,Genus,Taxon,nuSSU,nuLSU,AbdA,Wg,LR,COI,EF1aF1,EF1aF2,ArgK,CAD,Top1,Ubx,Family,Species,FL,GA,SpeciesGroup,Binomial,BinomialAuthority,Subspecies,Trinomial,TrinomialAuthority,Author,Year,ChangedComb,TypeLocalityCountry,Images,Text,Source,DBB_Notes,MPN_Notes,NCBI.ID,GB,Order
Aglyptacros,Aglyptacros,Aglyptacros,Aglyptacros_cf_sulcatus,EF012831,EF012959,EF013087,EF013667,EF013539,NA,EF013217,EF013379,NA,NA,NA,NA,Tiphiidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hymenoptera
Dolichoderinae,Tapinoma,Tapinoma,Tapinoma_sessile,EF012938,EF013066,EF013194,FJ161912,EF013646,FJ161757,EF013353,EF013515,FJ939888,FJ939942,NA,NA,Formicidae,sessile,1,1,,NA,(Say, 1836),Say,1836,Yes,United States,Present,Present,http://www.antwiki.org/wiki/Tapinoma sessile,NA,NA,NA,,NA,29039,1,Hymenoptera
Dolichoderinae,Technomyrmex,Technomyrmex,Technomyrmex_difficilis,EF012940,EF013068,EF013196,KM579353,KM597403,DQ176116,EF013355,EF013517,FJ939890,FJ939944,KM579074,NA,Formicidae,difficilis,1,1,,NA,Forel, 1892,Forel,1892,,Madagascar,Present,Present,http://www.antwiki.org/wiki/Technomyrmex difficilis,NA,NA,NA,,NA,411794,1,Hymenoptera
Dorylinae,Neivamyrmex,Neivamyrmex,Neivamyrmex_nigrescens,AY867445,AY867461,DQ352949,AY233612,AY867492,KX983330,EF013302,EF013464,KJ523353,KJ523430,KJ523701,KJ523618,Formicidae,nigrescens,0,1,,NA,(Cresson, 1872),Cresson,1872,Yes,United States,Present,Present,http://www.antwiki.org/wiki/Neivamyrmex nigrescens,NA,NA,NA,,NA,232157,1,Hymenoptera
Dorylinae,Neivamyrmex,Neivamyrmex,Neivamyrmex_opacithorax,NA,DQ401003,NA,NA,NA,KX983280,NA,NA,NA,NA,NA,NA,Formicidae,opacithorax,1,1,,NA,(Emery, 1894),Emery,1894,Yes,United States,Present,Present,http://www.antwiki.org/wiki/Neivamyrmex opacithorax,NA,NA,NA,,NA,373771,1,Hymenoptera
Dorylinae,Neivamyrmex,Neivamyrmex,Neivamyrmex_texanus,NA,NA,NA,NA,NA,JF863403,NA,NA,NA,NA,NA,NA,Formicidae,texanus,1,1,,NA,Watkins, 1972,Watkins,1972,,United States,Present,Present,http://www.antwiki.org/wiki/Neivamyrmex texanus,NA,NA,NA,not important,NA,NA,1,Hymenoptera
Ectatomminae,Ectatommini,Gnamptogenys,Gnamptogenys_triangularis,NA,NA,NA,LT623166,LT632329,MF926026,NA,NA,NA,NA,NA,NA,Formicidae,triangularis,1,1,,NA,(Mayr, 1887),Mayr,1887,Yes,Uruguay,Present,,http://www.antwiki.org/wiki/Gnamptogenys triangularis,NA,NA,NA,,Added Gnamptogenys continua LR and Wg,610056,1,Hymenoptera
Evagetes,Evagetes,Evagetes,Evagetes_sp,DQ353549,DQ353554,DQ352995,DQ353145,NA,DQ353402,NA,NA,NA,NA,NA,NA,Pompilidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hymenoptera
Formicinae,Camponotini,Camponotus,Camponotus_americanus,NA,NA,NA,NA,NA,KM538002,NA,AY334412,NA,NA,NA,NA,Formicidae,americanus,0,1,,NA,Mayr, 1862,Mayr,1862,,United States,Present,,http://www.antwiki.org/wiki/Camponotus americanus,NA,NA,NA,,NA,251250,1,Hymenoptera
Formicinae,Camponotini,Camponotus,Camponotus_castaneus,NA,NA,NA,KP730223,KP860349,KJ208900,NA,AY334410,NA,NA,NA,NA,Formicidae,castaneus,1,1,,NA,(Latreille, 1802),Latreille,1802,Yes,United States,Present,Present,http://www.antwiki.org/wiki/Camponotus castaneus,NA,NA,NA,,NA,105051,1,Hymenoptera
Formicinae,Camponotini,Camponotus,Camponotus_chromaiodes,NA,DQ226037,NA,NA,NA,MH558356,NA,AY334409,NA,NA,NA,NA,Formicidae,chromaiodes,0,1,,NA,Bolton, 1995,Bolton,1995,,United States,Present,,http://www.antwiki.org/wiki/Camponotus chromaiodes,NA,NA,NA,,NA,251251,1,Hymenoptera
Formicinae,Camponotini,Camponotus,Camponotus_floridanus,NA,NA,NA,NA,NA,AF186362,NA,AY334414,NA,NA,NA,NA,Formicidae,floridanus,1,1,,NA,(Buckley, 1866),Buckley,1866,Yes,United States,Present,Present,http://www.antwiki.org/wiki/Camponotus floridanus,NA,NA,NA,,NA,104421,1,Hymenoptera
Formicinae,Camponotini,Camponotus,Camponotus_nearcticus,NA,NA,NA,NA,KP860350,KR883451,NA,AY334413,NA,NA,NA,NA,Formicidae,nearcticus,1,1,,NA,Emery, 1893,Emery,1893,,United States,Present,,http://www.antwiki.org/wiki/Camponotus nearcticus,NA,NA,NA,,NA,251252,1,Hymenoptera
Formicinae,Camponotini,Camponotus,Camponotus_novaeboracensis,NA,NA,NA,LT977332,NA,LT977366,NA,NA,NA,NA,LT977216,NA,Formicidae,novaeboracensis,0,1,,NA,(Fitch, 1855),Fitch,1855,Yes,United States,Present,Present,http://www.antwiki.org/wiki/Camponotus novaeboracensis,NA,NA,NA,,NA,1888408,1,Hymenoptera
Formicinae,Camponotini,Camponotus,Camponotus_pennsylvanicus,NA,NA,NA,KJ920644,KJ920610,KR881664,NA,AY334408,NA,NA,LT977248,NA,Formicidae,pennsylvanicus,1,1,,NA,(De Geer, 1773),De Geer,1773,Yes,United States,Present,Present,http://www.antwiki.org/wiki/Camponotus pennsylvanicus,NA,NA,NA,,NA,104422,1,Hymenoptera
Formicinae,Camponotini,Camponotus,Camponotus_planatus,NA,NA,NA,NA,NA,KC419973,NA,NA,NA,NA,NA,NA,Formicidae,planatus,1,0,,NA,Roger, 1863,Roger,1863,,Cuba,Present,Present,http://www.antwiki.org/wiki/Camponotus planatus,NA,NA,NA,,NA,168613,1,Hymenoptera
Formicinae,Camponotini,Camponotus,Camponotus_sexguttatus,NA,NA,NA,NA,NA,KT863162,NA,NA,NA,NA,NA,NA,Formicidae,sexguttatus,1,0,,NA,(Fabricius, 1793),Fabricius,1793,Yes,Antilles,Present,Present,http://www.antwiki.org/wiki/Camponotus sexguttatus,NA,NA,NA,,NA,606041,1,Hymenoptera
Formicinae,Camponotini,Camponotus,Camponotus_socius,NA,NA,NA,NA,NA,AF187958,NA,NA,NA,NA,NA,NA,Formicidae,socius,1,1,,NA,Roger, 1863,Roger,1863,,Brazil,Present,,http://www.antwiki.org/wiki/Camponotus socius,NA,NA,NA,,NA,105054,1,Hymenoptera
Formicinae,Camponotini,Camponotus,Camponotus_tortuganus,NA,NA,NA,KF978313,KF978411,KF992251,NA,NA,NA,NA,NA,NA,Formicidae,tortuganus,1,0,,NA,Emery, 1895,Emery,1895,,United States,Present,,http://www.antwiki.org/wiki/Camponotus tortuganus,NA,NA,NA,,NA,606163,1,Hymenoptera
Formicinae,Camponotini,Colobopsis,Colobopsis_saundersi,KT443326,KT443384,KT443442,KT443270,KT443500,EF634194,KT443158,KT443214,KT443566,NA,KT443646,KT443726,Formicidae,saundersi,0,0,,NA,(Emery, 1889),Emery,1889,Yes,Myanmar,Present,,http://www.antwiki.org/wiki/Colobopsis saundersi,NA,NA,NA,need representative for genus,Alternate for Colobopsis impressa,450370,1,Hymenoptera
Formicinae,Formicini,Formica,Formica_exsectoides,NA,NA,NA,NA,NA,KT310176,NA,NA,NA,NA,NA,NA,Formicidae,exsectoides,0,1,,NA,Forel, 1886,Forel,1886,,United States,Present,,http://www.antwiki.org/wiki/Formica exsectoides,NA,NA,NA,,NA,609781,1,Hymenoptera
Formicinae,Formicini,Formica,Formica_fusca,FJ824197,FJ824287,FJ824331,LT977331,FJ824464,FJ824419,NA,AY334415,FJ824368,NA,LT977209,NA,Formicidae,fusca,0,1,,NA,Linnaeus, 1758,Linnaeus,1758,,Europe,Present,,http://www.antwiki.org/wiki/Formica fusca,NA,NA,NA,,NA,72779,1,Hymenoptera
Formicinae,Formicini,Formica,Formica_incerta,NA,NA,NA,NA,NA,LT977401,NA,NA,NA,NA,NA,NA,Formicidae,incerta,0,1,,NA,Buren, 1944,Buren,1944,,United States,Present,Present,http://www.antwiki.org/wiki/Formica incerta,NA,NA,NA,,NA,609806,1,Hymenoptera
Formicinae,Formicini,Formica,Formica_subintegra,NA,NA,NA,KP730224,NA,KP730063,NA,KP730145,NA,NA,NA,NA,Formicidae,subintegra,0,1,,NA,Wheeler, W.M., 1908,Wheeler, W.M.,1908,,United States,Present,,http://www.antwiki.org/wiki/Formica subintegra,NA,NA,NA,,NA,609893,1,Hymenoptera
Formicinae,Formicini,Formica,Formica_subsericea,NA,DQ226040,NA,KP730225,KP860351,KP730064,NA,KP730146,NA,NA,NA,NA,Formicidae,subsericea,1,1,,NA,Say, 1836,Say,1836,,United States,Present,,http://www.antwiki.org/wiki/Formica subsericea,NA,NA,NA,,NA,354281,1,Hymenoptera
Formicinae,Formicini,Polyergus,Polyergus_lucidus,NA,NA,NA,NA,NA,MH645543,NA,NA,NA,NA,NA,NA,Formicidae,lucidus,0,1,lucidus,NA,Mayr, 1870,Mayr,1870,,United States,Present,Present,http://www.antwiki.org/wiki/Polyergus lucidus,NA,NA,NA,,NA,615968,1,Hymenoptera
Formicinae,Lasiini,Lasius,Lasius_alienus,DQ353484,DQ353683,DQ352952,LT977308,KC820381,FJ824425,NA,NA,FJ824369,NA,LT977250,NA,Formicidae,alienus,1,1,,NA,(Foerster, 1850),Foerster,1850,Yes,Germany,Present,Present,http://www.antwiki.org/wiki/Lasius alienus,NA,NA,NA,,NA,219781,1,Hymenoptera
Formicinae,Lasiini,Lasius,Lasius_claviger,NA,NA,NA,NA,NA,KR888623,NA,NA,NA,NA,NA,NA,Formicidae,claviger,0,1,,NA,(Roger, 1862),Roger,1862,Yes,United States,Present,,http://www.antwiki.org/wiki/Lasius claviger,NA,NA,NA,,NA,611227,1,Hymenoptera
Formicinae,Lasiini,Lasius,Lasius_flavus,NA,NA,NA,LT977316,NA,AB370985,NA,NA,NA,NA,LT977243,NA,Formicidae,flavus,0,1,,NA,(Fabricius, 1782),Fabricius,1782,Yes,Europe,Present,Present,http://www.antwiki.org/wiki/Lasius flavus,NA,NA,NA,,NA,67763,1,Hymenoptera
Formicinae,Lasiini,Lasius,Lasius_interjectus,NA,NA,NA,NA,NA,AB370986,NA,NA,NA,NA,NA,NA,Formicidae,interjectus,1,1,,NA,Mayr, 1866,Mayr,1866,,United States,Present,Present,http://www.antwiki.org/wiki/Lasius interjectus,NA,NA,NA,,NA,488573,1,Hymenoptera
Formicinae,Lasiini,Lasius,Lasius_nearcticus,NA,NA,NA,LT977321,NA,AB370987,NA,NA,NA,NA,LT977232,NA,Formicidae,nearcticus,0,1,,NA,Wheeler, W.M., 1906,Wheeler, W.M.,1906,,United States,Present,Present,http://www.antwiki.org/wiki/Lasius nearcticus,NA,NA,NA,,NA,488575,1,Hymenoptera
Formicinae,Lasiini,Lasius,Lasius_neoniger,NA,NA,NA,LT977327,NA,KR883948,NA,NA,NA,NA,LT977231,NA,Formicidae,neoniger,1,1,,NA,Emery, 1893,Emery,1893,,United States,Present,Present,http://www.antwiki.org/wiki/Lasius neoniger,NA,NA,NA,,NA,611257,1,Hymenoptera
Formicinae,Lasiini,Lasius,Lasius_umbratus,NA,NA,NA,LT977318,NA,EF191428,NA,NA,NA,NA,LT977247,NA,Formicidae,umbratus,1,1,,NA,(Nylander, 1846),Nylander,1846,Yes,Finland,Present,Present,http://www.antwiki.org/wiki/Lasius umbratus,NA,NA,NA,,NA,262031,1,Hymenoptera
Formicinae,Lasiini,Nylanderia,Nylanderia_arenivaga,NA,NA,NA,JX425976,NA,NA,JX426003,JX425950,JX425895,JX425921,NA,NA,Formicidae,arenivaga,1,1,,NA,(Wheeler, W.M., 1905),Wheeler, W.M.,1905,Yes,United States,Present,Present,http://www.antwiki.org/wiki/Nylanderia arenivaga,NA,NA,NA,,NA,262033,1,Hymenoptera
Formicinae,Lasiini,Nylanderia,Nylanderia_bourbonica,NA,EU490452,NA,KP232898,KP232678,KP232102,JX426023,KP232642,JX425912,KP231876,NA,NA,Formicidae,bourbonica,1,1,,NA,(Forel, 1886),Forel,1886,Yes,R√©union,Present,Present,http://www.antwiki.org/wiki/Nylanderia bourbonica,NA,NA,NA,,NA,262034,1,Hymenoptera
Formicinae,Lasiini,Nylanderia,Nylanderia_concinna,NA,NA,NA,FJ982531,NA,FJ982447,FJ982493,FJ982573,NA,FJ982616,NA,NA,Formicidae,concinna,1,1,,NA,(Trager, 1984),Trager,1984,Yes,United States,Present,Present,http://www.antwiki.org/wiki/Nylanderia concinna,NA,NA,NA,,NA,613892,1,Hymenoptera
Formicinae,Lasiini,Nylanderia,Nylanderia_faisonensis,NA,NA,NA,FJ982534,NA,FJ982450,FJ982496,FJ982576,NA,FJ982619,NA,NA,Formicidae,faisonensis,1,1,,NA,(Forel, 1922),Forel,1922,Yes,United States,Present,Present,http://www.antwiki.org/wiki/Nylanderia faisonensis,NA,NA,NA,,NA,613901,1,Hymenoptera
