Subfamily,Tribe,Genus,Taxon,nuSSU,nuLSU,AbdA,Wg,LR,COI,EF1aF1,EF1aF2,ArgK,CAD,Top1,Ubx,Family,Species,FL,GA,SpeciesGroup,Binomial,BinomialAuthority,Subspecies,Trinomial,TrinomialAuthority,Author,Year,ChangedComb,TypeLocalityCountry,Images,Text,Source,DBB_Notes,MPN_Notes,NCBI.ID,GB,Order
Aglyptacros,Aglyptacros,Aglyptacros,Aglyptacros_cf_sulcatus,EF012831,EF012959,EF013087,EF013667,EF013539,NA,EF013217,EF013379,NA,NA,NA,NA,Tiphiidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hymenoptera
Formicinae,Myrmelachistini,Brachymyrmex,Brachymyrmex_obscurior,NA,NA,NA,NA,NA,HQ925273,NA,NA,NA,NA,NA,NA,Formicidae,obscurior,1,0,,NA,Forel, 1893,Forel,1893,,Antilles,Present,Present,http://www.antwiki.org/wiki/Brachymyrmex obscurior,NA,NA,NA,not important,NA,NA,1,Hymenoptera
Formicinae,Myrmelachistini,Brachymyrmex,Brachymyrmex_patagonicus,NA,NA,NA,MK634463,NA,MK634381,NA,MK634434,NA,NA,NA,NA,Formicidae,patagonicus,1,1,,NA,Mayr, 1868,Mayr,1868,,Argentina,Present,Present,http://www.antwiki.org/wiki/Brachymyrmex patagonicus,NA,NA,NA,,NA,NA,1,Hymenoptera
Metapolybia,Metapolybia,Metapolybia,Metapolybia_cingulata,EF012883,EF013011,EF013139,EF013719,EF013591,GU596904,EF013286,EF013448,NA,KC213233,NA,NA,Vespidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hymenoptera
Mischocyttarus,Mischocyttarus,Mischocyttarus,Mischocyttarus_flavitarsis,AY703486,AY703553,AY703687,AY703620,AY703754,GU596908,EF013289,EF013451,NA,NA,NA,NA,Vespidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hymenoptera
Myrmicinae,Attini,Cephalotes,Cephalotes_varians,NA,NA,NA,KC335616,KC335934,KC335769,NA,KC208553,NA,NA,NA,NA,Formicidae,varians,1,0,,NA,(Smith, F., 1876),Smith, F.,1876,Yes,Cuba,Present,Present,http://www.antwiki.org/wiki/Cephalotes varians,NA,NA,NA,,NA,577618,1,Hymenoptera
Myrmicinae,Attini,Cyphomyrmex,Cyphomyrmex_minutus,NA,NA,NA,EU204189,NA,JQ617495,NA,EU204583,NA,NA,KY828537,NA,Formicidae,minutus,1,0,,NA,Mayr, 1862,Mayr,1862,,Cuba,Present,Present,http://www.antwiki.org/wiki/Cyphomyrmex minutus,NA,NA,NA,,Dropped EF1aF1 - was not aligning well EU204342,34701,1,Hymenoptera
Myrmicinae,Attini,Cyphomyrmex,Cyphomyrmex_rimosus,NA,NA,NA,EU204146,NA,JQ617506,NA,NA,NA,NA,KY828540,NA,Formicidae,rimosus,1,1,,NA,(Spinola, 1851),Spinola,1851,Yes,Brazil,Present,Present,http://www.antwiki.org/wiki/Cyphomyrmex rimosus,NA,NA,NA,,Dropped EF1aF1 - was not aligning well EU204299,34702,1,Hymenoptera
Myrmicinae,Attini,Eurhopalothrix,Eurhopalothrix_australis,KJ860108,KJ859920,KJ861196,KJ861808,KJ861381,NA,KJ860537,KJ859733,KJ860977,KJ860737,KJ861579,KJ860308,Formicidae,australis,0,0,,NA,Brown & Kempf, 1960,Brown & Kempf,1960,,Australia,Present,Present,http://www.antwiki.org/wiki/Eurhopalothrix australis,NA,NA,NA,need representative for genus,Alternate for Eurhopalothrix floridana,609687,1,Hymenoptera
Myrmicinae,Attini,Pheidole,Pheidole_adrianoi,NA,NA,NA,NA,EF518935,EF518306,NA,NA,NA,NA,NA,NA,Formicidae,adrianoi,1,1,,NA,Naves, 1985,Naves,1985,,United States,Present,Present,http://www.antwiki.org/wiki/Pheidole adrianoi,NA,NA,NA,,NA,458891,1,Hymenoptera
Myrmicinae,Attini,Pheidole,Pheidole_bicarinata,NA,NA,NA,NA,KJ141537,KJ141786,NA,NA,NA,KJ141339,KJ141211,NA,Formicidae,bicarinata,1,1,,NA,Mayr, 1870,Mayr,1870,,United States,Present,Present,http://www.antwiki.org/wiki/Pheidole bicarinata,NA,NA,NA,,NA,458899,1,Hymenoptera
Myrmicinae,Attini,Pheidole,Pheidole_bilimeki,NA,NA,NA,NA,NA,EF518316,NA,NA,NA,NA,NA,NA,Formicidae,bilimeki,0,1,,NA,Mayr, 1870,Mayr,1870,,Mexico,Present,Present,http://www.antwiki.org/wiki/Pheidole bilimeki,NA,NA,NA,,NA,458901,1,Hymenoptera
Myrmicinae,Attini,Pheidole,Pheidole_carrolli,NA,NA,NA,NA,EF518948,EF518322,NA,NA,NA,NA,NA,NA,Formicidae,carrolli,1,0,,NA,Naves, 1985,Naves,1985,,United States,Present,Present,http://www.antwiki.org/wiki/Pheidole carrolli,NA,NA,NA,,NA,458908,1,Hymenoptera
Myrmicinae,Attini,Pheidole,Pheidole_crassicornis,NA,NA,NA,NA,EF518962,NA,NA,NA,NA,NA,NA,NA,Formicidae,crassicornis,1,1,,NA,Emery, 1895,Emery,1895,,United States,Present,Present,http://www.antwiki.org/wiki/Pheidole crassicornis,NA,NA,NA,,NA,458921,1,Hymenoptera
Myrmicinae,Attini,Pheidole,Pheidole_davisi,NA,NA,NA,NA,EF518963,EF518337,NA,NA,NA,NA,NA,NA,Formicidae,davisi,0,1,,NA,Wheeler, W.M., 1905,Wheeler, W.M.,1905,,United States,Present,Present,http://www.antwiki.org/wiki/Pheidole davisi,NA,NA,NA,,NA,458922,1,Hymenoptera
Myrmicinae,Attini,Pheidole,Pheidole_dentata,NA,NA,NA,NA,EF518964,EF518338,NA,NA,NA,NA,NA,NA,Formicidae,dentata,1,1,,NA,Mayr, 1886,Mayr,1886,,United States,Present,Present,http://www.antwiki.org/wiki/Pheidole dentata,NA,NA,NA,,NA,458923,1,Hymenoptera
Myrmicinae,Attini,Pheidole,Pheidole_dentigula,NA,NA,NA,NA,NA,Manual,NA,NA,NA,NA,NA,NA,Formicidae,dentigula,1,1,,NA,Smith, M.R., 1927,Smith, M.R.,1927,,United States,Present,Present,http://www.antwiki.org/wiki/Pheidole dentigula,NA,NA,NA,need representative for this species,NA,NA,1,Hymenoptera
Myrmicinae,Attini,Pheidole,Pheidole_diversipilosa,NA,NA,NA,NA,EF518967,EF518341,NA,NA,NA,NA,NA,NA,Formicidae,diversipilosa,1,0,,NA,Wheeler, W.M., 1908,Wheeler, W.M.,1908,,United States,Present,Present,http://www.antwiki.org/wiki/Pheidole diversipilosa,NA,NA,NA,,NA,458926,1,Hymenoptera
Myrmicinae,Attini,Pheidole,Pheidole_flavens,NA,NA,NA,NA,EF518973,EF518348,NA,NA,NA,NA,NA,NA,Formicidae,flavens,1,0,,NA,Roger, 1863,Roger,1863,,Cuba,Present,Present,http://www.antwiki.org/wiki/Pheidole flavens,NA,NA,NA,,NA,458933,1,Hymenoptera
Myrmicinae,Attini,Pheidole,Pheidole_floridana,NA,NA,NA,NA,EF518974,EF518349,NA,NA,NA,NA,NA,NA,Formicidae,floridana,1,1,,NA,Emery, 1895,Emery,1895,,United States,Present,Present,http://www.antwiki.org/wiki/Pheidole floridana,NA,NA,NA,this is bilimeki, we should check genetic ,NA,458934,1,Hymenoptera
Myrmicinae,Attini,Pheidole,Pheidole_littoralis,NA,NA,NA,NA,EF518987,EF518363,NA,NA,NA,NA,NA,NA,Formicidae,littoralis,1,1,,NA,Cole, 1952,Cole,1952,,United States,Present,Present,http://www.antwiki.org/wiki/Pheidole littoralis,NA,NA,NA,,NA,458949,1,Hymenoptera
Myrmicinae,Attini,Pheidole,Pheidole_megacephala,NA,EU439647,NA,KM579275,KM597330,KJ141874,NA,NA,NA,KJ141363,KJ141235,NA,Formicidae,megacephala,1,0,,NA,(Fabricius, 1793),Fabricius,1793,Yes,Mauritius,Present,Present,http://www.antwiki.org/wiki/Pheidole megacephala,NA,NA,NA,,NA,300850,1,Hymenoptera
Myrmicinae,Attini,Pheidole,Pheidole_metallescens,NA,NA,NA,NA,EF518990,EF518367,NA,NA,NA,NA,NA,NA,Formicidae,metallescens,1,1,,NA,Emery, 1895,Emery,1895,,United States,Present,Present,http://www.antwiki.org/wiki/Pheidole metallescens,NA,NA,NA,,NA,458952,1,Hymenoptera
Myrmicinae,Attini,Pheidole,Pheidole_moerens,NA,NA,NA,NA,EF518994,EF518371,NA,NA,NA,NA,NA,NA,Formicidae,moerens,1,1,,NA,Wheeler, W.M., 1908,Wheeler, W.M.,1908,,Puerto Rico,Present,Present,http://www.antwiki.org/wiki/Pheidole moerens,NA,NA,NA,,NA,458956,1,Hymenoptera
Myrmicinae,Attini,Pheidole,Pheidole_morrisii,NA,NA,NA,AY101369,JN205086,JN205097,NA,NA,NA,NA,NA,NA,Formicidae,morrisii,1,1,,NA,Forel, 1886,Forel,1886,,United States,Present,Present,http://www.antwiki.org/wiki/Pheidole morrisii,NA,NA,NA,,NA,615237,1,Hymenoptera
Myrmicinae,Attini,Pheidole,Pheidole_obscurithorax,NA,NA,NA,NA,EF518999,EF518376,NA,NA,NA,NA,NA,NA,Formicidae,obscurithorax,1,1,,NA,Naves, 1985,Naves,1985,,Argentina,Present,Present,http://www.antwiki.org/wiki/Pheidole obscurithorax,NA,NA,NA,,NA,458959,1,Hymenoptera
Myrmicinae,Attini,Pheidole,Pheidole_pilifera,NA,NA,NA,NA,EF519007,EF518384,NA,NA,NA,NA,NA,NA,Formicidae,pilifera,0,1,,NA,(Roger, 1863),Roger,1863,Yes,United States,Present,Present,http://www.antwiki.org/wiki/Pheidole pilifera,NA,NA,NA,,NA,458965,1,Hymenoptera
Myrmicinae,Attini,Pheidole,Pheidole_tysoni,NA,NA,NA,NA,KJ141541,KJ141790,NA,NA,NA,KJ141343,KJ141215,NA,Formicidae,tysoni,1,1,,NA,Forel, 1901,Forel,1901,,United States,Present,Present,http://www.antwiki.org/wiki/Pheidole tysoni,NA,NA,NA,,NA,459018,1,Hymenoptera
Myrmicinae,Attini,Strumigenys,Strumigenys_eggersi,NA,NA,NA,NA,NA,JN289315,NA,NA,NA,NA,NA,NA,Formicidae,eggersi,1,1,,NA,Emery, 1890,Emery,1890,,Lesser Antilles,Present,Present,http://www.antwiki.org/wiki/Strumigenys eggersi,NA,NA,NA,,NA,NA,1,Hymenoptera
Myrmicinae,Attini,Strumigenys,Strumigenys_emmae,KJ860215,KJ860027,KJ861302,KJ861915,KJ861486,EU525224,KJ860644,KJ859839,KJ861104,KJ860871,KJ861713,KJ860442,Formicidae,emmae,1,0,,NA,(Emery, 1890),Emery,1890,Yes,Virgin Islands,Present,Present,http://www.antwiki.org/wiki/Strumigenys emmae,NA,NA,NA,,NA,443846,1,Hymenoptera
Myrmicinae,Attini,Strumigenys,Strumigenys_gundlachi,KJ860218,KJ860030,KJ861305,KJ861918,KJ861489,NA,KJ860647,KJ859842,KJ861108,KJ860875,KJ861717,KJ860446,Formicidae,gundlachi,1,0,,NA,(Roger, 1862),Roger,1862,Yes,Cuba,Present,Present,http://www.antwiki.org/wiki/Strumigenys gundlachi,NA,NA,NA,,NA,1539500,1,Hymenoptera
Myrmicinae,Attini,Strumigenys,Strumigenys_lanuginosa,NA,NA,NA,NA,NA,KM224752,NA,NA,NA,NA,NA,NA,Formicidae,lanuginosa,1,0,,NA,Wheeler, W.M., 1905,Wheeler, W.M.,1905,,Bahamas,Present,Present,http://www.antwiki.org/wiki/Strumigenys lanuginosa,NA,NA,NA,,NA,625687,1,Hymenoptera
Myrmicinae,Attini,Strumigenys,Strumigenys_louisianae,NA,NA,NA,NA,NA,JF863530,NA,NA,NA,NA,NA,NA,Formicidae,louisianae,1,1,,NA,Roger, 1863,Roger,1863,,United States,Present,Present,http://www.antwiki.org/wiki/Strumigenys louisianae,NA,NA,NA,,NA,NA,1,Hymenoptera
Myrmicinae,Attini,Strumigenys,Strumigenys_membranifera,KJ860221,KJ860033,KJ861308,KJ861921,KJ861492,NA,KJ860650,KJ859845,KJ861111,KJ860878,KJ861720,KJ860449,Formicidae,membranifera,1,1,,NA,Emery, 1869,Emery,1869,,Italy,Present,Present,http://www.antwiki.org/wiki/Strumigenys membranifera,NA,NA,NA,,NA,1539503,1,Hymenoptera
Myrmicinae,Attini,Strumigenys,Strumigenys_rogeri,KJ860225,KJ860037,KJ861312,KJ861925,KJ861496,KX054829,KJ860654,KJ859849,KJ861115,KJ860882,KJ861724,KJ860453,Formicidae,rogeri,1,0,,NA,Emery, 1890,Emery,1890,,Antilles,Present,Present,http://www.antwiki.org/wiki/Strumigenys rogeri,NA,NA,NA,,NA,443847,1,Hymenoptera
Myrmicinae,Attini,Trachymyrmex,Trachymyrmex_jamaicensis,DQ353448,DQ353622,DQ352968,DQ353036,DQ353224,DQ353390,NA,NA,NA,NA,NA,NA,Formicidae,jamaicensis,1,0,,NA,(Andr√©, 1893),Andr√©,1893,Yes,Jamaica,Present,Present,http://www.antwiki.org/wiki/Trachymyrmex jamaicensis,NA,NA,NA,,Dropped EF1aF1 because taxxon not grouping with other Trachymyrmex and it might be that the addition of this EF1aF1 threw things off MK600369,369245,1,Hymenoptera
Myrmicinae,Attini,Trachymyrmex,Trachymyrmex_septentrionalis,NA,NA,NA,EU204184,NA,EU561595,NA,NA,NA,NA,KY828551,NA,Formicidae,septentrionalis,1,1,,NA,(McCook, 1881),McCook,1881,Yes,United States,Present,,http://www.antwiki.org/wiki/Trachymyrmex septentrionalis,NA,NA,NA,,dropped manually replaced accession EU204337 as was not aligning well,34720,1,Hymenoptera
Myrmicinae,Attini,Wasmannia,Wasmannia_auropunctata,EF012950,EF013078,EF013206,EU204163,EF013658,KX585772,NA,EU204558,KJ861138,KJ860907,KJ861749,KJ860478,Formicidae,auropunctata,1,0,,NA,(Roger, 1863),Roger,1863,Yes,Cuba,Present,Present,http://www.antwiki.org/wiki/Wasmannia auropunctata,NA,NA,NA,,dropped EF1aF1 - was not aligning well EU204316,64793,1,Hymenoptera
Myrmicinae,Crematogastrini,Cardiocondyla,Cardiocondyla_emeryi,NA,NA,NA,NA,FN985485,KX051824,FN984925,FN984973,NA,NA,NA,NA,Formicidae,emeryi,1,0,,NA,Forel, 1881,Forel,1881,,Australia,Present,Present,http://www.antwiki.org/wiki/Cardiocondyla emeryi,NA,NA,NA,,NA,329303,1,Hymenoptera
Myrmicinae,Crematogastrini,Cardiocondyla,Cardiocondyla_mauritanica,EF012849,EF012977,EF013105,EF013685,EF013557,KY836376,EF013239,EF013401,KJ860943,KJ860703,KJ861545,KJ860274,Formicidae,mauritanica,1,0,nuda,NA,Forel, 1890,Forel,1890,,Tunisia,Present,Present,http://www.antwiki.org/wiki/Cardiocondyla mauritanica,NA,NA,NA,,NA,314138,1,Hymenoptera
Myrmicinae,Crematogastrini,Cardiocondyla,Cardiocondyla_minutior,NA,NA,NA,NA,FN985497,KX051833,FN984929,FN984977,NA,NA,NA,NA,Formicidae,minutior,1,0,,NA,Forel, 1899,Forel,1899,,Hawaii but its natural range is Indomalayan region,Present,Present,http://www.antwiki.org/wiki/Cardiocondyla minutior,NA,NA,NA,,NA,329306,1,Hymenoptera
Myrmicinae,Crematogastrini,Cardiocondyla,Cardiocondyla_nuda,NA,NA,NA,NA,FN985519,NA,FN984961,FN985012,NA,NA,NA,NA,Formicidae,nuda,0,1,nuda,NA,(Mayr, 1866),Mayr,1866,Yes,Fiji,Present,Present,http://www.antwiki.org/wiki/Cardiocondyla nuda,NA,NA,NA,,NA,606313,1,Hymenoptera
Myrmicinae,Crematogastrini,Cardiocondyla,Cardiocondyla_obscurior,DQ353426,DQ353582,DQ352870,DQ353021,DQ353254,DQ353316,FN984958,FN985009,NA,NA,NA,NA,Formicidae,obscurior,1,0,,NA,Wheeler, W.M., 1929,Wheeler, W.M.,1929,,Taiwan,Present,,http://www.antwiki.org/wiki/Cardiocondyla obscurior,NA,NA,NA,,NA,286306,1,Hymenoptera
Myrmicinae,Crematogastrini,Cardiocondyla,Cardiocondyla_venustula,NA,NA,NA,NA,FN985515,NA,FN984935,FN984983,NA,NA,NA,NA,Formicidae,venustula,1,1,,NA,Wheeler, W.M., 1908,Wheeler, W.M.,1908,,Puerto Rico,Present,Present,http://www.antwiki.org/wiki/Cardiocondyla venustula,NA,NA,NA,,NA,606333,1,Hymenoptera
Myrmicinae,Crematogastrini,Cardiocondyla,Cardiocondyla_wroughtonii,NA,NA,NA,NA,NA,KU985554,NA,NA,NA,NA,NA,NA,Formicidae,wroughtonii,1,1,,NA,(Forel, 1890),Forel,1890,Yes,India,Present,Present,http://www.antwiki.org/wiki/Cardiocondyla wroughtonii,NA,NA,NA,,NA,329301,1,Hymenoptera
Myrmicinae,Crematogastrini,Crematogaster,Crematogaster_ashmeadi,NA,NA,NA,NA,NA,Manual,NA,NA,NA,NA,NA,NA,Formicidae,ashmeadi,1,1,,NA,Mayr, 1886,Mayr,1886,,United States,Present,,http://www.antwiki.org/wiki/Crematogaster ashmeadi,NA,NA,NA,common species in litter, would be great to have,NA,NA,1,Hymenoptera
Myrmicinae,Crematogastrini,Crematogaster,Crematogaster_laeviuscula,NA,NA,NA,NA,NA,MG343520,NA,NA,NA,NA,NA,NA,Formicidae,laeviuscula,1,1,,NA,Mayr, 1870,Mayr,1870,,Mexico,Present,,http://www.antwiki.org/wiki/Crematogaster laeviuscula,NA,NA,NA,not important,NA,NA,1,Hymenoptera
Myrmicinae,Crematogastrini,Crematogaster,Crematogaster_lineolata,NA,NA,NA,AY101370,JQ326694,KP252162,NA,NA,JQ326464,JQ326579,JQ326809,NA,Formicidae,lineolata,1,1,,NA,(Say, 1836),Say,1836,Yes,Unites States,Present,,http://www.antwiki.org/wiki/Crematogaster lineolata,NA,NA,NA,,NA,195111,1,Hymenoptera
Myrmicinae,Crematogastrini,Crematogaster,Crematogaster_minutissima,NA,NA,NA,NA,NA,AY443981,NA,NA,NA,NA,NA,NA,Formicidae,minutissima,1,1,,NA,Mayr, 1870,Mayr,1870,,United States,Present,Present,http://www.antwiki.org/wiki/Crematogaster minutissima,NA,NA,NA,,NA,254727,1,Hymenoptera
Myrmicinae,Crematogastrini,Crematogaster,Crematogaster_pilosa,NA,NA,NA,JQ326361,JQ326715,NA,NA,NA,NA,JQ326600,JQ326830,NA,Formicidae,pilosa,1,1,,NA,Emery, 1895,Emery,1895,,United States,Present,,http://www.antwiki.org/wiki/Crematogaster pilosa,NA,NA,NA,,NA,1201998,1,Hymenoptera
Myrmicinae,Crematogastrini,Myrmecina,Myrmecina_americana,KJ860153,KJ859965,KJ861240,KJ861853,KJ861425,DQ249340,KJ860582,KJ859777,KJ861029,KJ860792,KJ861634,KJ860363,Formicidae,americana,1,1,,NA,Emery, 1895,Emery,1895,,United States,Present,,http://www.antwiki.org/wiki/Myrmecina americana,NA,NA,NA,,NA,357227,1,Hymenoptera
Myrmicinae,Crematogastrini,Temnothorax,Temnothorax_allardycei,NA,MF427441,MF427332,MF427005,MF427114,NA,NA,MF427223,MF436476,MF436367,MF436258,NA,Formicidae,allardycei,1,0,,NA,(Mann, 1920),Mann,1920,Yes,Bahamas,Present,Present,http://www.antwiki.org/wiki/Temnothorax allardycei,NA,NA,NA,,NA,628180,1,Hymenoptera
Myrmicinae,Crematogastrini,Temnothorax,Temnothorax_americanus,NA,MF427443,MF427334,MF427007,MF427116,NA,NA,MF427225,MF436478,MF436369,MF436260,NA,Formicidae,americanus,0,1,,NA,(Emery, 1895),Emery,1895,Yes,United States,Present,Present,http://www.antwiki.org/wiki/Temnothorax americanus,NA,NA,NA,,NA,1964332,1,Hymenoptera
Myrmicinae,Crematogastrini,Temnothorax,Temnothorax_curvispinosus,NA,MF427465,MF427356,MF427029,MF427138,NA,NA,MF427247,MF436500,MF436391,MF436282,NA,Formicidae,curvispinosus,1,1,,NA,(Mayr, 1866),Mayr,1866,Yes,United States,Present,Present,http://www.antwiki.org/wiki/Temnothorax curvispinosus,NA,NA,NA,,dropped COI AY757258 because aligned strangely and was throwing off position,300111,1,Hymenoptera
Myrmicinae,Crematogastrini,Temnothorax,Temnothorax_longispinosus,NA,MF427484,MF427375,MF427048,MF427157,NA,NA,MF427266,MF436519,MF436410,MF436301,NA,Formicidae,longispinosus,0,1,,NA,(Roger, 1863),Roger,1863,Yes,United States,Present,Present,http://www.antwiki.org/wiki/Temnothorax longispinosus,NA,NA,NA,,dropped COI AY757235 because aligned strangely and was throwing off position,300112,1,Hymenoptera
Myrmicinae,Crematogastrini,Temnothorax,Temnothorax_pergandei,NA,MF427502,MF427393,MF427066,MF427175,NA,NA,MF427284,MF436537,MF436428,MF436319,NA,Formicidae,pergandei,1,1,,NA,(Emery, 1895),Emery,1895,Yes,United States,Present,Present,http://www.antwiki.org/wiki/Temnothorax pergandei,NA,NA,NA,,NA,628405,1,Hymenoptera
Myrmicinae,Crematogastrini,Temnothorax,Temnothorax_schaumii,NA,MF427514,MF427405,MF427078,MF427187,NA,NA,MF427296,MF436549,MF436440,MF436331,NA,Formicidae,schaumii,1,1,,NA,(Roger, 1863),Roger,1863,Yes,United States,Present,Present,http://www.antwiki.org/wiki/Temnothorax schaumii,NA,NA,NA,,NA,628444,1,Hymenoptera
Myrmicinae,Crematogastrini,Temnothorax,Temnothorax_smithi,NA,MF427517,MF427408,MF427081,MF427190,NA,NA,MF427299,MF436552,MF436443,MF436334,NA,Formicidae,smithi,1,1,,NA,(Baroni Urbani, 1978),Baroni Urbani,1978,Yes,United States,Present,Present,http://www.antwiki.org/wiki/Temnothorax smithi,NA,NA,NA,,NA,628458,1,Hymenoptera
Myrmicinae,Crematogastrini,Temnothorax,Temnothorax_torrei,NA,MF427525,MF427416,MF427089,MF427198,NA,NA,MF427307,MF436559,MF436451,MF436342,NA,Formicidae,torrei,1,0,,NA,(Aguayo, 1931),Aguayo,1931,Yes,Cuba,Present,Present,http://www.antwiki.org/wiki/Temnothorax torrei,NA,NA,NA,,NA,628488,1,Hymenoptera
Myrmicinae,Crematogastrini,Temnothorax,Temnothorax_tuscaloosae,NA,MF427528,MF427419,MF427092,MF427201,NA,NA,MF427310,MF436562,MF436454,MF436345,NA,Formicidae,tuscaloosae,0,1,,NA,(Wilson, 1951),Wilson,1951,Yes,United States,Present,Present,http://www.antwiki.org/wiki/Temnothorax tuscaloosae,NA,NA,NA,,NA,628496,1,Hymenoptera
Myrmicinae,Crematogastrini,Tetramorium,Tetramorium_bicarinatum,NA,EU490480,NA,NA,NA,AY909379,NA,NA,NA,NA,NA,NA,Formicidae,bicarinatum,1,1,bicarinatum,NA,(Nylander, 1846),Nylander,1846,Yes,United States,Present,Present,http://www.antwiki.org/wiki/Tetramorium bicarinatum,NA,NA,NA,,NA,219812,1,Hymenoptera
Myrmicinae,Crematogastrini,Tetramorium,Tetramorium_caldarium,NA,NA,NA,KM579369,KM597419,KC921199,NA,NA,NA,NA,KM579090,NA,Formicidae,caldarium,1,0,simillimum,NA,(Roger, 1857),Roger,1857,Yes,Poland,Present,Present,http://www.antwiki.org/wiki/Tetramorium caldarium,NA,NA,NA,,NA,628592,1,Hymenoptera
Myrmicinae,Crematogastrini,Tetramorium,Tetramorium_immigrans,NA,NA,NA,NA,NA,MF134291,NA,NA,NA,NA,NA,NA,Formicidae,immigrans,0,1,,NA,Santschi, 1927,Santschi,1927,,Chile,,,http://www.antwiki.org/wiki/Tetramorium immigrans,NA,NA,NA,,NA,2164160,1,Hymenoptera
Myrmicinae,Crematogastrini,Tetramorium,Tetramorium_simillimum,NA,EU490468,NA,KM579390,KM597440,DQ176172,NA,NA,NA,NA,KM579111,NA,Formicidae,simillimum,1,1,simillimum,NA,(Smith, F., 1851),Smith, F.,1851,Yes,United Kingdom of Great Britain and Northern Ireland,Present,Present,http://www.antwiki.org/wiki/Tetramorium simillimum,NA,NA,NA,,NA,443853,1,Hymenoptera
Myrmicinae,Crematogastrini,Tetramorium,Tetramorium_tsushimae,NA,NA,NA,NA,NA,AY641700,NA,NA,NA,NA,NA,NA,Formicidae,tsushimae,0,1,,NA,Emery, 1925,Emery,1925,,Japan,Present,,http://www.antwiki.org/wiki/Tetramorium tsushimae,NA,NA,NA,,NA,291737,1,Hymenoptera
Myrmicinae,Crematogastrini,Trichomyrmex,Trichomyrmex_destructor,KJ860138,KJ859950,DQ352921,KJ847542,KJ861410,DQ353305,KJ860567,KJ847514,KJ861013,KJ860776,KJ861618,KJ860347,Formicidae,destructor,1,0,destructor,NA,(Jerdon, 1851),Jerdon,1851,Yes,India,Present,Present,http://www.antwiki.org/wiki/Trichomyrmex destructor,NA,NA,NA,,NA,369170,1,Hymenoptera
Myrmicinae,Crematogastrini,Xenomyrmex,Xenomyrmex_floridanus,EF012951,EF013079,DQ352904,DQ353005,EF013659,DQ353320,EF013369,EF013531,KJ861139,KJ860908,KJ861750,KJ860479,Formicidae,floridanus,1,0,,NA,Emery, 1895,Emery,1895,,United States,Present,Present,http://www.antwiki.org/wiki/Xenomyrmex floridanus,NA,NA,NA,,NA,369252,1,Hymenoptera
Myrmicinae,Myrmicini,Myrmica,Myrmica_americana,FJ824204,FJ824294,FJ824364,AY101371,GU109379,GQ255125,NA,NA,GQ254935,NA,NA,NA,Formicidae,americana,0,1,,NA,Weber, 1939,Weber,1939,,United States,Present,,http://www.antwiki.org/wiki/Myrmica americana,NA,NA,NA,,NA,195148,1,Hymenoptera
Myrmicinae,Myrmicini,Myrmica,Myrmica_latifrons,NA,NA,NA,NA,KJ920613,NA,NA,KJ920576,NA,NA,NA,NA,Formicidae,latifrons,0,1,,NA,St√§rcke, 1927,St√§rcke,1927,,United States,Present,,http://www.antwiki.org/wiki/Myrmica latifrons,NA,NA,NA,,NA,612819,1,Hymenoptera
Myrmicinae,Myrmicini,Myrmica,Myrmica_pinetorum,NA,NA,NA,NA,NA,Manual,NA,NA,NA,NA,NA,NA,Formicidae,pinetorum,0,1,,NA,Wheeler, W.M., 1905,Wheeler, W.M.,1905,,United States,Present,Present,http://www.antwiki.org/wiki/Myrmica pinetorum,NA,NA,NA,common species in litter, would be great to have,NA,NA,1,Hymenoptera
Myrmicinae,Myrmicini,Myrmica,Myrmica_punctiventris,NA,GQ255253,NA,NA,GU109423,GQ255168,NA,NA,GQ254979,NA,NA,NA,Formicidae,punctiventris,1,1,,NA,Roger, 1863,Roger,1863,,United States,Present,Present,http://www.antwiki.org/wiki/Myrmica punctiventris,NA,NA,NA,,NA,68986,1,Hymenoptera
Myrmicinae,Pogonomyrmecini,Pogonomyrmex,Pogonomyrmex_badius,FJ824225,FJ824314,FJ824363,KU318947,KU318896,FJ824448,KU318801,AY651892,FJ824374,KU318716,NA,NA,Formicidae,badius,1,1,californicus,NA,(Latreille, 1802),Latreille,1802,Yes,United States,Present,Present,http://www.antwiki.org/wiki/Pogonomyrmex badius,NA,NA,NA,,NA,269696,1,Hymenoptera
Myrmicinae,Solenopsidini,Monomorium,Monomorium_floricola,NA,NA,NA,KM579229,NA,KJ847481,NA,KJ847516,NA,NA,KM578950,NA,Formicidae,floricola,1,0,,NA,(Jerdon, 1851),Jerdon,1851,Yes,India,Present,Present,http://www.antwiki.org/wiki/Monomorium floricola,NA,NA,NA,,NA,612295,1,Hymenoptera
Myrmicinae,Solenopsidini,Monomorium,Monomorium_minimum,NA,NA,NA,NA,NA,KX687942,NA,NA,NA,NA,NA,NA,Formicidae,minimum,0,1,,NA,(Buckley, 1867),Buckley,1867,Yes,United States,Present,Present,http://www.antwiki.org/wiki/Monomorium minimum,NA,NA,NA,,NA,612392,1,Hymenoptera
