"Subfamily","Tribe","Genus","Species","Taxon","FL","GA","SpeciesGroup","Binomial","BinomialAuthority","Subspecies","Trinomial","TrinomialAuthority","Author","Year","ChangedComb","TypeLocalityCountry","Images","Text","Source","DBB_Notes","MPN_Notes","NCBI.ID","nuSSU","nuLSU","AbdA","Wg","LR","COI","EF1aF1","EF1aF2","ArgK","CAD","Top1","Ubx","GB"
"Dolichoderinae","","Linepithema","humile","Linepithema humile",1,1,"",NA,"(Mayr, 1868)","Mayr",1868,"Yes","Argentina","Present","Present","http://www.antwiki.org/wiki/Linepithema humile",NA,NA,NA,"",NA,83485,"EF012875","EF013003","AY525327","FJ161882","FJ161830","FJ161727","EF013277","EF013439","FJ939872","FJ939926",NA,NA,1
"Dolichoderinae","","Ochetellus","glaber","Ochetellus glaber",1,0,"",NA,"(Mayr, 1862)","Mayr",1862,"Yes","Australia","Present","","http://www.antwiki.org/wiki/Ochetellus glaber",NA,NA,NA,"",NA,255795,"DQ353491","DQ353588","DQ352948","DQ353058","DQ353154","DQ353333",NA,NA,NA,NA,NA,NA,1
"Dolichoderinae","","Tapinoma","litorale","Tapinoma litorale",1,0,"",NA,"Wheeler, W.M., 1905","Wheeler, W.M.",1905,"","Bahamas","Present","Present","http://www.antwiki.org/wiki/Tapinoma litorale",NA,NA,NA,"not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Dolichoderinae","","Tapinoma","melanocephalum","Tapinoma melanocephalum",1,1,"",NA,"(Fabricius, 1793)","Fabricius",1793,"Yes","French Guiana","Present","Present","http://www.antwiki.org/wiki/Tapinoma melanocephalum",NA,NA,NA,"",NA,219810,"FJ939774","FJ939806","FJ939838","KM579349","KM597399","KX054892","FJ940074","FJ939977","FJ939887","FJ939941","KM579070",NA,1
"Dolichoderinae","","Tapinoma","sessile","Tapinoma sessile",1,1,"",NA,"(Say, 1836)","Say",1836,"Yes","United States","Present","Present","http://www.antwiki.org/wiki/Tapinoma sessile",NA,NA,NA,"",NA,29039,"EF012938","EF013066","EF013194","FJ161912","EF013646","FJ161757","EF013353","EF013515","FJ939888","FJ939942",NA,NA,1
"Dolichoderinae","","Technomyrmex","difficilis","Technomyrmex difficilis",1,1,"",NA,"Forel, 1892","Forel",1892,"","Madagascar","Present","Present","http://www.antwiki.org/wiki/Technomyrmex difficilis",NA,NA,NA,"",NA,411794,"EF012940","EF013068","EF013196","KM579353","KM597403","DQ176116","EF013355","EF013517","FJ939890","FJ939944","KM579074",NA,1
"Dorylinae","","Neivamyrmex","carolinensis","Neivamyrmex carolinensis",1,1,"",NA,"(Emery, 1894)","Emery",1894,"Yes","United States","Present","Present","http://www.antwiki.org/wiki/Neivamyrmex carolinensis",NA,NA,NA,"not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Dorylinae","","Neivamyrmex","nigrescens","Neivamyrmex nigrescens",0,1,"",NA,"(Cresson, 1872)","Cresson",1872,"Yes","United States","Present","Present","http://www.antwiki.org/wiki/Neivamyrmex nigrescens",NA,NA,NA,"",NA,232157,"AY867445","AY867461","DQ352949","AY233612","AY867492","KX983330","EF013302","EF013464","KJ523353","KJ523430","KJ523701","KJ523618",1
"Dorylinae","","Neivamyrmex","opacithorax","Neivamyrmex opacithorax",1,1,"",NA,"(Emery, 1894)","Emery",1894,"Yes","United States","Present","Present","http://www.antwiki.org/wiki/Neivamyrmex opacithorax",NA,NA,NA,"",NA,373771,NA,"DQ401003",NA,NA,NA,"KX983280",NA,NA,NA,NA,NA,NA,1
"Dorylinae","","Neivamyrmex","texanus","Neivamyrmex texanus",1,1,"",NA,"Watkins, 1972","Watkins",1972,"","United States","Present","Present","http://www.antwiki.org/wiki/Neivamyrmex texanus",NA,NA,NA,"not important",NA,NA,NA,NA,NA,NA,NA,"JF863403",NA,NA,NA,NA,NA,NA,1
"Ectatomminae","Ectatommini","Gnamptogenys","triangularis","Gnamptogenys triangularis",1,1,"",NA,"(Mayr, 1887)","Mayr",1887,"Yes","Uruguay","Present","","http://www.antwiki.org/wiki/Gnamptogenys triangularis",NA,NA,NA,"","Added Gnamptogenys continua LR and Wg",610056,NA,NA,NA,"LT623166","LT632329","MF926026",NA,NA,NA,NA,NA,NA,1
"Formicinae","Camponotini","Camponotus","americanus","Camponotus americanus",0,1,"",NA,"Mayr, 1862","Mayr",1862,"","United States","Present","","http://www.antwiki.org/wiki/Camponotus americanus",NA,NA,NA,"",NA,251250,NA,NA,NA,NA,NA,"KM538002",NA,"AY334412",NA,NA,NA,NA,1
"Formicinae","Camponotini","Camponotus","caryae","Camponotus caryae",1,1,"",NA,"(Fitch, 1855)","Fitch",1855,"Yes","United States","Present","","http://www.antwiki.org/wiki/Camponotus caryae",NA,NA,NA,"not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Formicinae","Camponotini","Camponotus","castaneus","Camponotus castaneus",1,1,"",NA,"(Latreille, 1802)","Latreille",1802,"Yes","United States","Present","Present","http://www.antwiki.org/wiki/Camponotus castaneus",NA,NA,NA,"",NA,105051,NA,NA,NA,"KP730223","KP860349","KJ208900",NA,"AY334410",NA,NA,NA,NA,1
"Formicinae","Camponotini","Camponotus","chromaiodes","Camponotus chromaiodes",0,1,"",NA,"Bolton, 1995","Bolton",1995,"","United States","Present","","http://www.antwiki.org/wiki/Camponotus chromaiodes",NA,NA,NA,"",NA,251251,NA,"DQ226037",NA,NA,NA,"MH558356",NA,"AY334409",NA,NA,NA,NA,1
"Formicinae","Camponotini","Camponotus","decipiens","Camponotus decipiens",1,1,"",NA,"Emery, 1893","Emery",1893,"","United States","Present","","http://www.antwiki.org/wiki/Camponotus decipiens",NA,NA,NA,"not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Formicinae","Camponotini","Camponotus","discolor","Camponotus discolor",1,1,"",NA,"(Buckley, 1866)","Buckley",1866,"Yes","United States","Present","","http://www.antwiki.org/wiki/Camponotus discolor",NA,NA,NA,"not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Formicinae","Camponotini","Camponotus","floridanus","Camponotus floridanus",1,1,"",NA,"(Buckley, 1866)","Buckley",1866,"Yes","United States","Present","Present","http://www.antwiki.org/wiki/Camponotus floridanus",NA,NA,NA,"",NA,104421,NA,NA,NA,NA,NA,"AF186362",NA,"AY334414",NA,NA,NA,NA,1
"Formicinae","Camponotini","Camponotus","nearcticus","Camponotus nearcticus",1,1,"",NA,"Emery, 1893","Emery",1893,"","United States","Present","","http://www.antwiki.org/wiki/Camponotus nearcticus",NA,NA,NA,"",NA,251252,NA,NA,NA,NA,"KP860350","KR883451",NA,"AY334413",NA,NA,NA,NA,1
"Formicinae","Camponotini","Camponotus","novaeboracensis","Camponotus novaeboracensis",0,1,"",NA,"(Fitch, 1855)","Fitch",1855,"Yes","United States","Present","Present","http://www.antwiki.org/wiki/Camponotus novaeboracensis",NA,NA,NA,"",NA,1888408,NA,NA,NA,"LT977332",NA,"LT977366",NA,NA,NA,NA,"LT977216",NA,1
"Formicinae","Camponotini","Camponotus","pennsylvanicus","Camponotus pennsylvanicus",1,1,"",NA,"(De Geer, 1773)","De Geer",1773,"Yes","United States","Present","Present","http://www.antwiki.org/wiki/Camponotus pennsylvanicus",NA,NA,NA,"",NA,104422,NA,NA,NA,"KJ920644","KJ920610","KR881664",NA,"AY334408",NA,NA,"LT977248",NA,1
"Formicinae","Camponotini","Camponotus","planatus","Camponotus planatus",1,0,"",NA,"Roger, 1863","Roger",1863,"","Cuba","Present","Present","http://www.antwiki.org/wiki/Camponotus planatus",NA,NA,NA,"",NA,168613,NA,NA,NA,NA,NA,"KC419973",NA,NA,NA,NA,NA,NA,1
"Formicinae","Camponotini","Camponotus","sexguttatus","Camponotus sexguttatus",1,0,"",NA,"(Fabricius, 1793)","Fabricius",1793,"Yes","Antilles","Present","Present","http://www.antwiki.org/wiki/Camponotus sexguttatus",NA,NA,NA,"",NA,606041,NA,NA,NA,NA,NA,"KT863162",NA,NA,NA,NA,NA,NA,1
"Formicinae","Camponotini","Camponotus","snellingi","Camponotus snellingi",1,1,"",NA,"Bolton, 1995","Bolton",1995,"","United States","Present","","http://www.antwiki.org/wiki/Camponotus snellingi",NA,NA,NA,"not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Formicinae","Camponotini","Camponotus","socius","Camponotus socius",1,1,"",NA,"Roger, 1863","Roger",1863,"","Brazil","Present","","http://www.antwiki.org/wiki/Camponotus socius",NA,NA,NA,"",NA,105054,NA,NA,NA,NA,NA,"AF187958",NA,NA,NA,NA,NA,NA,1
"Formicinae","Camponotini","Camponotus","subbarbatus","Camponotus subbarbatus",0,1,"",NA,"Emery, 1893","Emery",1893,"","United States","Present","","http://www.antwiki.org/wiki/Camponotus subbarbatus",NA,NA,NA,"not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Formicinae","Camponotini","Camponotus","tortuganus","Camponotus tortuganus",1,0,"",NA,"Emery, 1895","Emery",1895,"","United States","Present","","http://www.antwiki.org/wiki/Camponotus tortuganus",NA,NA,NA,"",NA,606163,NA,NA,NA,"KF978313","KF978411","KF992251",NA,NA,NA,NA,NA,NA,1
"Formicinae","Camponotini","Colobopsis","impressa","Colobopsis impressa",1,1,"",NA,"Roger, 1863","Roger",1863,"","United States","Present","","http://www.antwiki.org/wiki/Colobopsis impressa",NA,NA,NA,"need representative for genus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Formicinae","Camponotini","Colobopsis","obliqua","Colobopsis obliqua",1,0,"",NA,"(Smith, M.R., 1930)","Smith, M.R.",1930,"Yes","United States","Present","","http://www.antwiki.org/wiki/Colobopsis obliqua",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Formicinae","Camponotini","Colobopsis","riehlii","Colobopsis riehlii",1,0,"",NA,"Roger, 1863","Roger",1863,"","Cuba","Present","","http://www.antwiki.org/wiki/Colobopsis riehlii",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Formicinae","Camponotini","Colobopsis","saundersi","Colobopsis saundersi",0,0,"",NA,"(Emery, 1889)","Emery",1889,"Yes","Myanmar","Present","","http://www.antwiki.org/wiki/Colobopsis saundersi",NA,NA,NA,"need representative for genus","Alternate for Colobopsis impressa",450370,"KT443326","KT443384","KT443442","KT443270","KT443500","EF634194","KT443158","KT443214","KT443566",NA,"KT443646","KT443726",1
"Formicinae","Formicini","Formica","archboldi","Formica archboldi",1,1,"",NA,"Smith, M.R., 1944","Smith, M.R.",1944,"","United States","Present","Present","http://www.antwiki.org/wiki/Formica archboldi",NA,NA,NA,"not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Formicinae","Formicini","Formica","biophilica","Formica biophilica",1,1,"",NA,"Trager, 2007","Trager",2007,"","United States","Present","Present","http://www.antwiki.org/wiki/Formica biophilica",NA,NA,NA,"not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Formicinae","Formicini","Formica","difficilis","Formica difficilis",0,1,"microgyna",NA,"Emery, 1893","Emery",1893,"","United States","Present","Present","http://www.antwiki.org/wiki/Formica difficilis",NA,NA,NA,"not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
