species,n_records,Notes,,,CurrentName,,Notes
Nylanderia vividula,10,,,,Nylanderia vividula,,
Nylanderia wojciki,78,,,,Nylanderia wojciki,,
Ochetellus glaber,4,,,,Ochetellus glaber,,
Odontomachus brunneus,214,,,,Odontomachus brunneus,,
Odontomachus haematodus,1,,,,Odontomachus haematodus,,
Odontomachus relictus,12,,,,Odontomachus relictus,,
Odontomachus ruginodis,98,,,,Odontomachus ruginodis,,
Pachycondyla stigma,20,Changed from Pachycondyla to Pseudoponera,,,Pseudoponera stigma,,
Paratrechina longicornis,124,,,,Paratrechina longicornis,,
Pheidole adrianoi,33,,,,Pheidole adrianoi,,
Pheidole bicarinata,7,,,,Pheidole bicarinata,,
Pheidole carrolli,9,,,,Pheidole carrolli,,
Pheidole crassicornis,12,,,,Pheidole crassicornis,,
Pheidole dentata,276,,,,Pheidole dentata,,
Pheidole dentigula,222,,,,Pheidole dentigula,,
Pheidole diversipilosa,4,,,,Pheidole diversipilosa,,
Pheidole flavens,15,,,,Pheidole flavens,,
Pheidole floridana,199,,,,Pheidole floridana,,
Pheidole lamia,2,,,,Pheidole lamia,,
Pheidole littoralis,20,,,,Pheidole littoralis,,
Pheidole megacephala,26,,,,Pheidole megacephala,,
Pheidole metallescens,78,,,,Pheidole metallescens,,
Pheidole moerens,284,,,,Pheidole moerens,,
Pheidole morrisi,132,,,,Pheidole morrisi,,
Pheidole obscurithorax,9,,,,Pheidole obscurithorax,,
Pheidole tysoni,3,,,,Pheidole tysoni,,
Platythyrea punctata,31,,,,Platythyrea punctata,,
Pogonomyrmex badius,176,,,,Pogonomyrmex badius,,
Polyergus longicornis,2,Removed double-space between gen sp,Polyergus  longicornis,,Polyergus longicornis,,
Polyergus oligergus,2,Removed double-space between gen sp,Polyergus  oligergus,,Polyergus oligergus,,
Ponera exotica,13,,,,Ponera exotica,,
Ponera pennsylvanica,15,,,,Ponera pennsylvanica,,
Prenolepis imparis,63,,,,Prenolepis imparis,,
Prionopelta antillana,6,Changed from Prinopelta antillana to PriOnopelta antillana,,,Prionopelta antillana,,
Proceratium chickasaw,2,,,,Proceratium chickasaw,,
Proceratium crassicorne,2,,,,Proceratium crassicorne,,
Proceratium creek,2,,,,Proceratium creek,,
Proceratium croceum,7,,,,Proceratium croceum,,
Proceratium pergandei,27,,,,Proceratium pergandei,,
Proceratium silaceum,29,,,,Proceratium silaceum,,
Pseudomyrmex cubaensis,43,,,,Pseudomyrmex cubaensis,,
Pseudomyrmex ejectus,130,,,,Pseudomyrmex ejectus,,
Pseudomyrmex elongatus,46,,,,Pseudomyrmex elongatus,,
Pseudomyrmex gracilis,148,,,,Pseudomyrmex gracilis,,
Pseudomyrmex leptosus,4,,,,Pseudomyrmex leptosus,,
Pseudomyrmex pallidus,70,,,,Pseudomyrmex pallidus,,
Pseudomyrmex seminole,30,,,,Pseudomyrmex seminole,,
Pseudomyrmex simplex,25,,,,Pseudomyrmex simplex,,
Solenopsis abdita,294,,,,Solenopsis abdita,,
Solenopsis carolinensis,92,,,,Solenopsis carolinensis,,
Solenopsis geminata,100,,,,Solenopsis geminata,,
Solenopsis globularia,22,,,,Solenopsis globularia,,
Solenopsis invicta,313,,,,Solenopsis invicta,,
Solenopsis nickersoni,51,,,,Solenopsis nickersoni,,
Solenopsis pergandei,47,,,,Solenopsis pergandei,,
Solenopsis phoretica,1,,,,Solenopsis phoretica,,
Solenopsis picta,49,,,,Solenopsis picta,,
Solenopsis tennesseensis,232,,,,Solenopsis tennesseensis,,
Solenopsis tonsa,13,,,,Solenopsis tonsa,,
Solenopsis zeteki,7,,,,Solenopsis zeteki,,
Stenamma foveolocephalum,1,,,,Stenamma foveolocephalum,,
Stigmatomma pallipes,67,,,,Stigmatomma pallipes,,
Strumigenys angulata,6,,,,Strumigenys angulata,,
Strumigenys apalachicolensis,1,,,,Strumigenys apalachicolensis,,
Strumigenys archboldi,11,,,,Strumigenys archboldi,,
Strumigenys boltoni,2,,,,Strumigenys boltoni,,
Strumigenys bunki,19,,,,Strumigenys bunki,,
Strumigenys carolinensis,6,,,,Strumigenys carolinensis,,
Strumigenys cloydi,2,,,,Strumigenys cloydi,,
Strumigenys clypeata,74,,,,Strumigenys clypeata,,
Strumigenys creightoni,8,,,,Strumigenys creightoni,,
Strumigenys dietrichi,76,,,,Strumigenys dietrichi,,
Strumigenys eggersi,143,,,,Strumigenys eggersi,,
Strumigenys emmae,125,,,,Strumigenys emmae,,
Strumigenys gundlachi,15,,,,Strumigenys gundlachi,,
Strumigenys hexamera,2,,,,Strumigenys hexamera,,
Strumigenys inopina,2,,,,Strumigenys inopina,,
Strumigenys laevineasis,1,Changed from laevineasis to laevinasis,,,Strumigenys laevinasis,,
Strumigenys lanuginosa,4,,,,Strumigenys lanuginosa,,
Strumigenys louisianae,189,,,,Strumigenys louisianae,,
Strumigenys margaritae,4,,,,Strumigenys margaritae,,
Strumigenys membranifera,98,,,,Strumigenys membranifera,,
Strumigenys missouriensis,5,,,,Strumigenys missouriensis,,
Strumigenys ohioensis,10,,,,Strumigenys ohioensis,,
Strumigenys ornata,160,,,,Strumigenys ornata,,
Strumigenys pilinasis,21,,,,Strumigenys pilinasis,,
Strumigenys pulchella,23,,,,Strumigenys pulchella,,
Strumigenys reflexa,11,,,,Strumigenys reflexa,,
Strumigenys rogeri,51,,,,Strumigenys rogeri,,
Strumigenys rostrata,20,,,,Strumigenys rostrata,,
Strumigenys silvestrii,6,,,,Strumigenys silvestrii,,
Strumigenys talpa,190,,,,Strumigenys talpa,,
Strumigenys wrayi,2,,,,Strumigenys wrayi,,
Tapinoma litorale,18,,,,Tapinoma litorale,,
Tapinoma melanocephalum,88,,,,Tapinoma melanocephalum,,
Tapinoma sessile,28,,,,Tapinoma sessile,,
Technomyrmex difficilis,22,,,,Technomyrmex difficilis,,
