"NCBI.ID","nuSSU","nuLSU","AbdA","Wg","LR","COI","EF1aF1","EF1aF2","ArgK","CAD","Top1","Ubx","Taxon","Genus","Tribe","Subfamily","Family"
"231980","AY703487","AY703554","DQ352966","AY233594","AY703755","DQ353291","EF013219","EF013381","KJ523366","KJ523371","KJ523716","KJ523633","Stigmatomma pallipes","Stigmatomma",NA,"Amblyoponinae","Formicidae"
"602452",NA,"KU671432","KU672056","KU671585","KU671534",NA,NA,"KU671483","KU671642",NA,"KU671705","KU671768","Stigmatomma saundersi","Stigmatomma",NA,"Amblyoponinae","Formicidae"
"237732",NA,"AY325919","KU672058","KU671587","KU671536",NA,NA,"KU671485","KU671644",NA,"KU671707","KU671770","Stigmatomma silvestrii","Stigmatomma",NA,"Amblyoponinae","Formicidae"
"602458",NA,"KU671439","KU672063","KU671592","KU671541",NA,NA,"KU671490","KU671649",NA,"KU671712","KU671775","Stigmatomma zwaluwenburgi","Stigmatomma",NA,"Amblyoponinae","Formicidae"
"237739","EF012832","EF012960","EF013088","EF013668","EF013540",NA,"EF013218","EF013380","KU671653",NA,"KU671716","KU671779","Xymmer muticus","Xymmer",NA,"Amblyoponinae","Formicidae"
"1851434",NA,"LC154070",NA,NA,NA,"LC154072",NA,NA,NA,NA,NA,NA,"Xymmer phungi","Xymmer",NA,"Amblyoponinae","Formicidae"
"369090","EF012833","EF012961","DQ352980","KR829180","KR829553","DQ353354","EF013220","EF013382","FJ939840","FJ939894","KJ523645","KJ523562","Aneuretus simoni","Aneuretus",NA,"Aneuretinae","Formicidae"
"411733","EF012835","EF012963","EF013091","EF013671","EF013543",NA,"EF013222","EF013384","FJ939841","FJ939895",NA,NA,"Anonychomyrma gilberti","Anonychomyrma",NA,"Dolichoderinae","Formicidae"
"602552","FJ939744","FJ939776","FJ939808","FJ940012","FJ939979",NA,"FJ940044","FJ939947","FJ939842","FJ939896",NA,NA,"Anonychomyrma itinerans","Anonychomyrma",NA,"Dolichoderinae","Formicidae"
"369092","DQ353495","DQ353680","DQ352929","DQ353041","DQ353213",NA,NA,NA,NA,NA,NA,NA,"Anonychomyrma nitidiceps","Anonychomyrma",NA,"Dolichoderinae","Formicidae"
"708225","FJ939745","FJ939777","FJ939809","KM579134","KM597244",NA,"FJ940045","FJ939948","FJ939843","FJ939897","KM578855",NA,"Aptinoma antongil","Aptinoma",NA,"Dolichoderinae","Formicidae"
"708226","FJ939746","FJ939778","FJ939810","FJ940014","FJ939981",NA,"FJ940046","FJ939949","FJ939844","FJ939898",NA,NA,"Aptinoma mangabe","Aptinoma",NA,"Dolichoderinae","Formicidae"
"602994","FJ939748","FJ939780","FJ939812","FJ940016","FJ939983",NA,"FJ940048","FJ939951","FJ939846","FJ939900",NA,NA,"Axinidris mlalu","Axinidris",NA,"Dolichoderinae","Formicidae"
"602995","FJ939749","FJ939781","FJ939813","FJ940017","FJ939984",NA,"FJ940049","FJ939952","FJ939847","FJ939901",NA,NA,"Axinidris murielae","Axinidris",NA,"Dolichoderinae","Formicidae"
"602823",NA,NA,NA,NA,NA,"MF925946",NA,NA,NA,NA,NA,NA,"Azteca adrepens","Azteca",NA,"Dolichoderinae","Formicidae"
"602825",NA,NA,NA,NA,"KX121028",NA,NA,NA,NA,NA,NA,NA,"Azteca alfari","Azteca",NA,"Dolichoderinae","Formicidae"
"602831",NA,NA,NA,"JQ868127","JQ868409","JQ867515","JQ868043",NA,NA,NA,NA,NA,"Azteca beltii","Azteca",NA,"Dolichoderinae","Formicidae"
"602844",NA,NA,NA,NA,"KX121024","KC419741",NA,NA,NA,NA,NA,NA,"Azteca coeruleipennis","Azteca",NA,"Dolichoderinae","Formicidae"
"602845",NA,NA,NA,NA,"KX121035",NA,NA,NA,NA,NA,NA,NA,"Azteca constructor","Azteca",NA,"Dolichoderinae","Formicidae"
"602861",NA,NA,NA,"JQ868147","JQ868329","JQ867605","JQ867966",NA,NA,NA,NA,NA,"Azteca forelii","Azteca",NA,"Dolichoderinae","Formicidae"
"602870","FJ939750","FJ939782","FJ939814","FJ940018","FJ939985",NA,"FJ940050","FJ939953","FJ939848","FJ939902",NA,NA,"Azteca instabilis","Azteca",NA,"Dolichoderinae","Formicidae"
"602886",NA,NA,NA,"JQ868230","JQ868412","JQ867688","JQ868047",NA,NA,NA,NA,NA,"Azteca nigricans","Azteca",NA,"Dolichoderinae","Formicidae"
"602887",NA,NA,NA,"JQ868067","JQ868249","JQ867525","JQ867888",NA,NA,NA,NA,NA,"Azteca oecocordia","Azteca",NA,"Dolichoderinae","Formicidae"
"411736","EF012842","EF012970","EF013098","JQ868086","JQ868268","JQ867544","EF013231","EF013393","FJ939849","FJ939903",NA,NA,"Azteca ovaticeps","Azteca",NA,"Dolichoderinae","Formicidae"
"602893",NA,NA,NA,"JQ868191","JQ868410","JQ867650","JQ868039",NA,NA,NA,NA,NA,"Azteca pittieri","Azteca",NA,"Dolichoderinae","Formicidae"
"602896",NA,NA,NA,NA,NA,"JQ867506","JQ867873",NA,NA,NA,NA,NA,"Azteca quadraticeps","Azteca",NA,"Dolichoderinae","Formicidae"
"602899","FJ939751","FJ939783","FJ939815","FJ940019","FJ939986",NA,"FJ940051","FJ939954","FJ939850","FJ939904",NA,NA,"Azteca schimperi","Azteca",NA,"Dolichoderinae","Formicidae"
"602928",NA,NA,NA,NA,"KX121034",NA,NA,NA,NA,NA,NA,NA,"Azteca xanthochroa","Azteca",NA,"Dolichoderinae","Formicidae"
"369102","DQ353488","DQ353669","DQ352873","DQ353061","DQ353152",NA,NA,NA,NA,NA,NA,NA,"Bothriomyrmex hispanicus","Bothriomyrmex",NA,"Dolichoderinae","Formicidae"
"604499","FJ939752","FJ939784","FJ939816","FJ940020","FJ939987",NA,"FJ940052","FJ939955","FJ939851","FJ939905",NA,NA,"Bothriomyrmex paradoxus","Bothriomyrmex",NA,"Dolichoderinae","Formicidae"
"604506","FJ939753","FJ939785","FJ939817","FJ940021","FJ939988",NA,"FJ940053","FJ939956","FJ939852","FJ939906",NA,NA,"Bothriomyrmex saundersi","Bothriomyrmex",NA,"Dolichoderinae","Formicidae"
"715508","FJ939754","FJ939786","FJ939818","FJ940022","FJ939989",NA,"FJ940054","FJ939957","FJ939853","FJ939907",NA,NA,"Chronoxenus javanus","Chronoxenus",NA,"Dolichoderinae","Formicidae"
"606920",NA,NA,NA,NA,NA,"JQ913606",NA,NA,NA,NA,NA,NA,"Chronoxenus myops","Chronoxenus",NA,"Dolichoderinae","Formicidae"
"609327","FJ939755","FJ939787","FJ939819","FJ940023","FJ939990",NA,"FJ940055","FJ939958","FJ939854","FJ939908",NA,NA,"Doleromyrma darwiniana","Doleromyrma",NA,"Dolichoderinae","Formicidae"
"609339",NA,NA,NA,NA,"KU232982","KU187246",NA,NA,NA,NA,NA,NA,"Dolichoderus attelaboides","Dolichoderus",NA,"Dolichoderinae","Formicidae"
"219776",NA,NA,NA,NA,"KU232988","KU187249",NA,NA,NA,NA,NA,NA,"Dolichoderus bidens","Dolichoderus",NA,"Dolichoderinae","Formicidae"
"609343",NA,NA,NA,NA,"KU232985","MF925995",NA,NA,NA,NA,NA,NA,"Dolichoderus bispinosus","Dolichoderus",NA,"Dolichoderinae","Formicidae"
"609363","FJ939756","FJ939788","FJ939820","FJ940024","FJ939991","KU187250","FJ940056","FJ939959","FJ939855","FJ939909",NA,NA,"Dolichoderus debilis","Dolichoderus",NA,"Dolichoderinae","Formicidae"
